#Organism Name,Strain,GenBank FTP,RefSeq FTP
"Listeria monocytogenes EGD-e","EGD-e","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/035/GCA_000196035.1_ASM19603v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1"
"Mycobacterium avium subsp. paratuberculosis K-10","K-10","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/865/GCF_000007865.1_ASM786v1"
"Mycobacterium tuberculosis variant bovis","SP38","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/325/GCA_000934325.3_ASM93432v3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/325/GCF_000934325.3_ASM93432v3"
"Actinobacillus pleuropneumoniae serovar 5b str. L20","L20","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/885/GCA_000015885.1_ASM1588v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/885/GCF_000015885.1_ASM1588v1"
"Tropheryma whipplei str. Twist","Twist","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/485/GCA_000007485.1_ASM748v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/485/GCF_000007485.1_ASM748v1"
"Prochlorococcus marinus subsp. marinus str. CCMP1375","CCMP1375; SS120","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/925/GCF_000007925.1_ASM792v1"
"Haemophilus influenzae Rd KW20","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/305/GCA_000027305.1_ASM2730v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/305/GCF_000027305.1_ASM2730v1"
"Mycobacterium tuberculosis H37Rv","H37Rv","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/955/GCF_000195955.2_ASM19595v2"
"Escherichia coli IAI39","IAI39","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/345/GCA_000026345.1_ASM2634v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/345/GCF_000026345.1_ASM2634v1"
"Helicobacter pylori 26695","26695","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1"
"Buchnera aphidicola str. Sg (Schizaphis graminum)","Sg","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/365/GCA_000007365.1_ASM736v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/365/GCF_000007365.1_ASM736v1"
"Chlamydia pneumoniae CWL029","CWL029","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/745/GCA_000008745.1_ASM874v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/745/GCF_000008745.1_ASM874v1"
"Neisseria meningitidis MC58","MC58","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/805/GCA_000008805.1_ASM880v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1"
"Xylella fastidiosa 9a5c","9a5c","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/725/GCA_000006725.1_ASM672v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/725/GCF_000006725.1_ASM672v1"
"Streptococcus pyogenes M1 GAS","SF370","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/785/GCA_000006785.2_ASM678v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/785/GCF_000006785.2_ASM678v2"
"Streptococcus pneumoniae R6","R6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/045/GCA_000007045.1_ASM704v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/045/GCF_000007045.1_ASM704v1"
"Agrobacterium radiobacter K84","K84","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/265/GCA_000016265.1_ASM1626v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/265/GCF_000016265.1_ASM1626v1"
"Xanthomonas axonopodis Xac29-1","Xac29-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/348/585/GCA_000348585.1_ASM34858v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/585/GCF_000348585.1_ASM34858v1"
"Leptospira interrogans serovar Lai str. 56601","56601","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/565/GCA_000092565.1_ASM9256v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/565/GCF_000092565.1_ASM9256v1"
"Fusobacterium nucleatum subsp. nucleatum ATCC 25586","ATCC 25586","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/325/GCA_000007325.1_ASM732v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/325/GCF_000007325.1_ASM732v1"
"Bacillus anthracis str. Ames","Ames","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/845/GCF_000007845.1_ASM784v1"
"Shigella flexneri 2a str. 301","301","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/925/GCA_000006925.2_ASM692v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/925/GCF_000006925.2_ASM692v2"
"Bifidobacterium longum NCC2705","NCC2705","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/525/GCA_000007525.1_ASM752v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/525/GCF_000007525.1_ASM752v1"
"Histophilus somni 2336","2336","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/405/GCA_000019405.1_ASM1940v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/405/GCF_000019405.1_ASM1940v1"
"Pseudomonas syringae pv. syringae B728a","B728a","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/245/GCA_000012245.1_ASM1224v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/245/GCF_000012245.1_ASM1224v1"
"Streptococcus agalactiae 2603V/R","2603V/R","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/265/GCF_000007265.1_ASM726v1"
"Pseudomonas aeruginosa PAO1","PAO1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/765/GCF_000006765.1_ASM676v1"
"Vibrio vulnificus","CECT 4999","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/135/GCA_002215135.1_ASM221513v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/135/GCF_002215135.1_ASM221513v1"
"Mycoplasma hyopneumoniae J","J","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/205/GCA_000008205.1_ASM820v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/205/GCF_000008205.1_ASM820v1"
"Streptococcus suis BM407","BM407","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/745/GCA_000026745.1_ASM2674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/745/GCF_000026745.1_ASM2674v1"
"Chlorobium phaeobacteroides DSM 266","DSM 266","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/125/GCA_000015125.1_ASM1512v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/125/GCF_000015125.1_ASM1512v1"
"Paenarthrobacter aurescens TC1","TC1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/925/GCA_000014925.1_ASM1492v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/925/GCF_000014925.1_ASM1492v1"
"Acinetobacter baumannii","AB030","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/645/GCA_000746645.1_ASM74664v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/746/645/GCF_000746645.1_ASM74664v1"
"Anaplasma marginale str. Florida","Florida","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/305/GCA_000020305.1_ASM2030v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/305/GCF_000020305.1_ASM2030v1"
"Bacillus licheniformis DSM 13 = ATCC 14580","ATCC 14580; DSM 13","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/645/GCA_000011645.1_ASM1164v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/645/GCF_000011645.1_ASM1164v1"
"Bacteroides fragilis YCH46","YCH46","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1"
"Shigella dysenteriae Sd197","Sd197","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/005/GCF_000012005.1_ASM1200v1"
"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Philadelphia 1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1"
"Shigella sonnei","FDAARGOS_90","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/295/GCA_001558295.2_ASM155829v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/295/GCF_001558295.2_ASM155829v2"
"Streptococcus thermophilus JIM 8232","JIM 8232","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/395/GCA_000253395.1_ASM25339v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/395/GCF_000253395.1_ASM25339v1"
"Wolbachia endosymbiont strain TRS of Brugia malayi","","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/385/GCA_000008385.1_ASM838v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/385/GCF_000008385.1_ASM838v1"
"Synechococcus elongatus PCC 6301","PCC 6301","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/065/GCF_000010065.1_ASM1006v1"
"Shewanella baltica OS678","OS678","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/875/GCF_000178875.2_ASM17887v2"
"Shewanella putrefaciens CN-32","CN-32","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/585/GCF_000016585.1_ASM1658v1"
"Ehrlichia ruminantium str. Welgevonden","Welgevonden","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/005/GCA_000026005.1_ASM2600v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/005/GCF_000026005.1_ASM2600v1"
"Lactobacillus reuteri DSM 20016","DSM 20016","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/825/GCA_000016825.1_ASM1682v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/825/GCF_000016825.1_ASM1682v1"
"Bacillus pumilus","SH-B9","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/205/GCA_001578205.1_ASM157820v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/205/GCF_001578205.1_ASM157820v1"
"Thermus thermophilus HB8","HB8","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/545/GCA_000091545.1_ASM9154v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/545/GCF_000091545.1_ASM9154v1"
"Corynebacterium glutamicum ATCC 13032","ATCC 13032","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/325/GCA_000011325.1_ASM1132v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/325/GCF_000011325.1_ASM1132v1"
"Chlamydia trachomatis D/UW-3/CX","D/UW-3/CX","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1"
"Mycoplasma genitalium G37","G-37","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/325/GCA_000027325.1_ASM2732v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/325/GCF_000027325.1_ASM2732v1"
"Burkholderia cenocepacia J2315","J2315","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/485/GCA_000009485.1_ASM948v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/485/GCF_000009485.1_ASM948v1"
"Burkholderia pseudomallei K96243","K96243","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/545/GCF_000011545.1_ASM1154v1"
"Burkholderia mallei ATCC 23344","ATCC 23344","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/705/GCF_000011705.1_ASM1170v1"
"Corynebacterium jeikeium K411","K411 = NCTC 11915","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/605/GCA_000006605.1_ASM660v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/605/GCF_000006605.1_ASM660v1"
"Ehrlichia chaffeensis str. Arkansas","Arkansas","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/145/GCA_000013145.1_ASM1314v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/145/GCF_000013145.1_ASM1314v1"
"Nitrosococcus oceani ATCC 19707","ATCC 19707","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/805/GCA_000012805.1_ASM1280v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/805/GCF_000012805.1_ASM1280v1"
"[Bacillus thuringiensis] serovar konkukian str. 97-27","97-27","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/505/GCA_000008505.1_ASM850v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/505/GCF_000008505.1_ASM850v1"
"Ralstonia solanacearum GMI1000","GMI1000","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/125/GCA_000009125.1_ASM912v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/125/GCF_000009125.1_ASM912v1"
"Candidatus Pelagibacter ubique HTCC1062","HTCC1062","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/345/GCA_000012345.1_ASM1234v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/345/GCF_000012345.1_ASM1234v1"
"Shigella boydii Sb227","Sb227","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/025/GCA_000012025.1_ASM1202v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/025/GCF_000012025.1_ASM1202v1"
"Mycobacterium ulcerans Agy99","Agy99","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/925/GCA_000013925.2_ASM1392v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/925/GCF_000013925.1_ASM1392v2"
"Vibrio cholerae O1 biovar El Tor str. N16961","N16961","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/745/GCA_000006745.1_ASM674v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1"
"Streptococcus salivarius","NCTC 8618","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/515/GCA_000785515.1_ASM78551v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/515/GCF_000785515.1_ASM78551v1"
"Rhodopseudomonas palustris HaA2","HaA2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/365/GCA_000013365.1_ASM1336v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/365/GCF_000013365.1_ASM1336v1"
"Rhodobacter sphaeroides ATCC 17025","ATCC 17025","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/405/GCA_000016405.1_ASM1640v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/405/GCF_000016405.1_ASM1640v1"
"Yersinia pseudotuberculosis IP 31758","IP 31758","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/945/GCF_000016945.1_ASM1694v1"
"Francisella tularensis subsp. tularensis SCHU S4","SCHU S4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/985/GCF_000008985.1_ASM898v1"
"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002","ATCC 11842","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/056/065/GCA_000056065.1_ASM5606v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/056/065/GCF_000056065.1_ASM5606v1"
"Mycoplasma agalactiae PG2","PG2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/605/GCA_000063605.1_ASM6360v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/605/GCF_000063605.1_ASM6360v1"
"Leptospira borgpetersenii serovar Hardjo-bovis str. L550","L550","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/945/GCA_000013945.1_ASM1394v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/945/GCF_000013945.1_ASM1394v1"
"Brucella abortus bv. 1 str. 9-941","9-941","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/145/GCA_000008145.1_ASM814v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/145/GCF_000008145.1_ASM814v1"
"Mycoplasma capricolum subsp. capricolum ATCC 27343","ATCC 27343","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/765/GCA_000012765.1_ASM1276v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/765/GCF_000012765.1_ASM1276v1"
"Bartonella bacilliformis KC583","KC583; ATCC 35685","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/445/GCA_000015445.1_ASM1544v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/445/GCF_000015445.1_ASM1544v1"
"Xanthomonas citri pv. vignicola","CFBP7111","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/245/GCA_002218245.1_ASM221824v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/218/245/GCF_002218245.1_ASM221824v1"
"Campylobacter fetus subsp. fetus 82-40","82-40","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/085/GCA_000015085.1_ASM1508v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/085/GCF_000015085.1_ASM1508v1"
"Xanthomonas oryzae pv. oryzae PXO99A","PXO99A","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/585/GCA_000019585.2_ASM1958v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/585/GCF_000019585.2_ASM1958v2"
"Streptococcus mitis B6","B6","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/165/GCF_000027165.1_ASM2716v1"
"Sodalis glossinidius str. 'morsitans'","morsitans","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/085/GCA_000010085.1_ASM1008v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/085/GCF_000010085.1_ASM1008v1"
"Thermotoga neapolitana DSM 4359","DSM 4359","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/945/GCA_000018945.1_ASM1894v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/945/GCF_000018945.1_ASM1894v1"
"Salinispora tropica CNB-440","CNB-440","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/425/GCA_000016425.1_ASM1642v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/425/GCF_000016425.1_ASM1642v1"
"Clostridioides difficile 630","630","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/205/GCA_000009205.2_ASM920v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/205/GCF_000009205.2_ASM920v2"
"Roseobacter denitrificans OCh 114","OCh 114","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/045/GCA_000014045.1_ASM1404v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/045/GCF_000014045.1_ASM1404v1"
"Cupriavidus pinatubonensis JMP134","JMP134","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/203/875/GCF_000203875.1_ASM20387v1"
"Aeromonas salmonicida subsp. salmonicida A449","A449","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/395/GCF_000196395.1_ASM19639v1"
"Desulfitobacterium hafniense DCB-2","DCB-2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/925/GCA_000021925.1_ASM2192v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/925/GCF_000021925.1_ASM2192v1"
"Oenococcus oeni PSU-1","PSU-1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/385/GCA_000014385.1_ASM1438v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/385/GCF_000014385.1_ASM1438v1"
"Coxiella burnetii RSA 493","RSA 493","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/765/GCA_000007765.2_ASM776v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/765/GCF_000007765.2_ASM776v2"
"Lactobacillus casei BL23","BL23","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/485/GCA_000026485.1_ASM2648v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/485/GCF_000026485.1_ASM2648v1"
"Salinispora arenicola CNS-205","CNS-205","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/265/GCA_000018265.1_ASM1826v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/265/GCF_000018265.1_ASM1826v1"
